Model,MSE,RMSE,MAE,R2 Score
Linear Regression,8.031163333364798,2.83393072134179,2.2807854238483594,0.8506287049463859
"Manual Neural Network [64, 32]",4.774392592041839,2.1850383502451027,1.7611124086380006,0.911201257530784
"GA-Evolved Neural Network [8, 128]",5.213062849132062,2.283213272809192,1.724768249988556,0.9030424464491003
